number,digit,time
11689, 5, 733930
12637, 5, 370540
13163, 5, 417660
15173, 5, 497030
15439, 5, 301140
16069, 5, 127320
16087, 5, 153050
16519, 5, 159610
17383, 5, 144020
17713, 5, 131360
18521, 5, 224380
19961, 5, 160680
20551, 5, 582600
20773, 5, 183870
21587, 5, 167680
21881, 5, 164120
22483, 5, 163520
23053, 5, 166590
23311, 5, 166670
23563, 5, 170180
24337, 5, 81230
25763, 5, 72030
26557, 5, 112630
27407, 5, 122320
27739, 5, 124030
27779, 5, 126540
27967, 5, 121410
29399, 5, 126370
31573, 5, 114920
33223, 5, 77880
38069, 5, 81200
38119, 5, 82070
38861, 5, 88610
39359, 5, 83940
41179, 5, 124270
43013, 5, 107980
45247, 5, 115800
46451, 5, 95490
48247, 5, 548290
49123, 5, 98140
49339, 5, 79220
51197, 5, 80440
51421, 5, 92250
52009, 5, 106210
52673, 5, 52860
53507, 5, 54500
54979, 5, 58360
55721, 5, 56230
56773, 5, 58220
57373, 5, 89680
58427, 5, 99460
59453, 5, 87970
59621, 5, 78880
60223, 5, 57880
60343, 5, 59210
60373, 5, 56390
60919, 5, 50220
62191, 5, 51580
62507, 5, 51370
62659, 5, 52890
62723, 5, 55770
64381, 5, 64450
64783, 5, 73590
66383, 5, 64850
66919, 5, 70880
68543, 5, 107970
69127, 5, 140490
69431, 5, 133120
70687, 5, 158680
73583, 5, 178770
73643, 5, 180120
74203, 5, 199560
74363, 5, 180030
74929, 5, 197460
75571, 5, 152990
76873, 5, 199850
79181, 5, 184560
79999, 5, 222200
80929, 5, 251070
81667, 5, 270200
83273, 5, 62980
83869, 5, 68860
84221, 5, 70030
85223, 5, 71300
87547, 5, 74650
87587, 5, 62570
87671, 5, 100960
88873, 5, 70700
90703, 5, 88980
90901, 5, 124740
92083, 5, 68070
92893, 5, 77080
93239, 5, 87370
93607, 5, 110080
95651, 5, 75970
97301, 5, 72300
98713, 5, 77920
99233, 5, 115380
99439, 5, 81330
99643, 5, 70880
105467, 6, 72980
117529, 6, 114990
120163, 6, 85620
122471, 6, 129030
134587, 6, 71740
146891, 6, 63950
150089, 6, 69630
159539, 6, 66500
163337, 6, 70240
166861, 6, 68380
199931, 6, 101370
201767, 6, 295550
205963, 6, 339840
207367, 6, 228750
211499, 6, 250780
216911, 6, 223060
218233, 6, 257980
222041, 6, 250980
272093, 6, 281630
286589, 6, 334170
309481, 6, 256360
321449, 6, 290560
329677, 6, 282420
343583, 6, 312590
363397, 6, 331250
369469, 6, 341810
383941, 6, 355430
384757, 6, 413650
395611, 6, 387470
404051, 6, 393380
405179, 6, 519340
406117, 6, 105630
410453, 6, 121190
422249, 6, 114370
440329, 6, 135890
