number,digit,time
11689, 5, 1247270
12637, 5, 334760
13163, 5, 142320
15173, 5, 136370
15439, 5, 122610
16069, 5, 234460
16087, 5, 175120
16519, 5, 174390
17383, 5, 241070
17713, 5, 207290
18521, 5, 254060
19961, 5, 192570
20551, 5, 677000
20773, 5, 159760
21587, 5, 185340
21881, 5, 170100
22483, 5, 162190
23053, 5, 163360
23311, 5, 179260
23563, 5, 191150
24337, 5, 190950
25763, 5, 191200
26557, 5, 180400
27407, 5, 177170
27739, 5, 172040
27779, 5, 266300
27967, 5, 342510
29399, 5, 190990
31573, 5, 216620
33223, 5, 190280
38069, 5, 1132410
38119, 5, 84540
38861, 5, 176600
39359, 5, 195400
41179, 5, 136130
43013, 5, 188880
45247, 5, 114180
46451, 5, 88690
48247, 5, 151260
49123, 5, 87870
49339, 5, 86930
51197, 5, 99220
51421, 5, 99440
52009, 5, 103230
52673, 5, 108230
53507, 5, 117070
54979, 5, 169250
55721, 5, 113570
56773, 5, 90090
57373, 5, 99510
58427, 5, 90220
59453, 5, 92240
59621, 5, 222110
60223, 5, 263020
60343, 5, 212830
60373, 5, 114010
60919, 5, 120170
62191, 5, 122390
62507, 5, 161070
62659, 5, 213080
62723, 5, 180030
64381, 5, 145000
64783, 5, 116820
66383, 5, 135680
66919, 5, 452400
68543, 5, 49010
69127, 5, 49630
69431, 5, 50620
70687, 5, 95110
73583, 5, 85090
73643, 5, 92390
74203, 5, 94100
74363, 5, 99710
74929, 5, 115180
75571, 5, 93530
76873, 5, 88140
79181, 5, 87480
79999, 5, 106020
80929, 5, 94480
81667, 5, 103860
83273, 5, 80210
83869, 5, 114910
84221, 5, 99930
85223, 5, 129350
87547, 5, 145860
87587, 5, 118360
87671, 5, 132800
88873, 5, 125900
90703, 5, 106440
90901, 5, 121790
92083, 5, 108420
92893, 5, 108350
93239, 5, 121790
93607, 5, 137620
95651, 5, 273190
97301, 5, 159710
98713, 5, 195570
99233, 5, 331900
99439, 5, 286600
99643, 5, 269970
105467, 6, 228710
117529, 6, 251990
120163, 6, 565770
122471, 6, 230030
134587, 6, 253720
146891, 6, 222120
150089, 6, 204800
159539, 6, 187740
163337, 6, 188500
166861, 6, 410160
199931, 6, 272000
201767, 6, 271660
205963, 6, 322730
207367, 6, 219860
211499, 6, 257380
216911, 6, 270900
218233, 6, 347890
222041, 6, 90010
272093, 6, 79590
286589, 6, 83070
309481, 6, 88160
321449, 6, 95960
329677, 6, 135920
