number,digit,time
11689, 5, 39562160
12637, 5, 40168770
13163, 5, 11343340
15173, 5, 12672070
15439, 5, 8057630
16069, 5, 7430250
16087, 5, 8325520
16519, 5, 9379910
17383, 5, 10076150
17713, 5, 9212530
18521, 5, 8027390
19961, 5, 8557250
20551, 5, 9183850
20773, 5, 8719410
21587, 5, 12354230
21881, 5, 12990480
22483, 5, 11484490
23053, 5, 12201560
23311, 5, 9547700
23563, 5, 13014320
24337, 5, 10564700
25763, 5, 12099340
26557, 5, 12698010
27407, 5, 11658900
27739, 5, 10819690
27779, 5, 14866440
27967, 5, 7301230
29399, 5, 9879710
31573, 5, 10820770
33223, 5, 10485340
38069, 5, 9848880
38119, 5, 11787250
38861, 5, 10411600
39359, 5, 10506500
41179, 5, 15120460
43013, 5, 13708050
45247, 5, 13501850
46451, 5, 13055880
48247, 5, 10897220
49123, 5, 13049000
49339, 5, 12461710
51197, 5, 10308510
51421, 5, 11852660
52009, 5, 13316570
52673, 5, 13255160
53507, 5, 12045720
54979, 5, 10457740
55721, 5, 11505330
56773, 5, 13496800
57373, 5, 12935760
58427, 5, 13780240
59453, 5, 12227080
59621, 5, 11742850
60223, 5, 13664480
60343, 5, 13112740
60373, 5, 13327330
60919, 5, 12463220
62191, 5, 11539630
62507, 5, 14049990
62659, 5, 12397830
62723, 5, 16685140
64381, 5, 13918790
64783, 5, 13010370
66383, 5, 13630650
66919, 5, 12839650
68543, 5, 12940220
69127, 5, 16763140
69431, 5, 12215810
70687, 5, 12083740
73583, 5, 14953740
73643, 5, 14685280
74203, 5, 18077770
74363, 5, 12448900
74929, 5, 11384480
75571, 5, 11258130
76873, 5, 14330740
79181, 5, 13240390
79999, 5, 16131150
80929, 5, 13771930
81667, 5, 14297360
83273, 5, 15414940
83869, 5, 13798600
84221, 5, 15768630
85223, 5, 14782720
87547, 5, 28644880
87587, 5, 23928920
87671, 5, 16541450
88873, 5, 16606150
90703, 5, 16704190
90901, 5, 13287040
92083, 5, 15908050
92893, 5, 14977410
93239, 5, 13457100
93607, 5, 18234730
95651, 5, 15146540
97301, 5, 16259800
98713, 5, 11586780
99233, 5, 14709610
99439, 5, 18275700
99643, 5, 15850270
105467, 6, 14481870
117529, 6, 15888630
120163, 6, 19859770
122471, 6, 16575880
134587, 6, 23027590
146891, 6, 18860260
150089, 6, 17984700
159539, 6, 21832850
163337, 6, 18869690
166861, 6, 19551150
199931, 6, 23057160
201767, 6, 20113820
205963, 6, 23790280
207367, 6, 22883380
211499, 6, 23540580
216911, 6, 25535560
218233, 6, 19463270
222041, 6, 18683660
272093, 6, 19663590
286589, 6, 21732060
309481, 6, 21683230
321449, 6, 21755480
329677, 6, 24526590
343583, 6, 24626100
363397, 6, 20729000
369469, 6, 21954130
383941, 6, 22277500
384757, 6, 20198430
395611, 6, 20572450
404051, 6, 21626950
405179, 6, 29223590
406117, 6, 21387240
410453, 6, 26257300
422249, 6, 21787220
440329, 6, 22285980
451097, 6, 24770780
459167, 6, 29237440
465259, 6, 27068890
472639, 6, 26651120
474707, 6, 25252330
476579, 6, 23825020
501637, 6, 29189380
509149, 6, 26049900
509393, 6, 27521440
509413, 6, 27449590
511549, 6, 27464640
514201, 6, 24078020
524053, 6, 25569570
525199, 6, 23984310
535523, 6, 24000570
540373, 6, 27669340
553811, 6, 27853300
583769, 6, 27370680
583981, 6, 25709030
587887, 6, 24860340
619681, 6, 25817980
623929, 6, 25498650
629417, 6, 27460140
633767, 6, 29991350
644009, 6, 28152250
650537, 6, 28550090
653789, 6, 30907640
657049, 6, 28570500
663001, 6, 24378970
667903, 6, 34752020
671557, 6, 27961430
676937, 6, 26715040
681977, 6, 28233050
694559, 6, 28344120
701579, 6, 29017610
712837, 6, 25478220
743209, 6, 29222580
752903, 6, 27053290
754771, 6, 29070410
754993, 6, 21825400
768191, 6, 32352350
769541, 6, 36388950
795239, 6, 29320830
800131, 6, 28750520
802141, 6, 26196660
806801, 6, 27082060
808699, 6, 25836740
813797, 6, 32961260
814003, 6, 27280190
814883, 6, 30491380
823399, 6, 25504020
830957, 6, 25808860
861761, 6, 28254700
862229, 6, 32321580
870577, 6, 27435040
884057, 6, 33070420
889349, 6, 32434890
895633, 6, 38677670
907733, 6, 29585040
910051, 6, 31376310
918371, 6, 34814350
934259, 6, 31097880
944687, 6, 35160260
981301, 6, 31062660
981523, 6, 35563320
1035241, 7, 30060600
1066757, 7, 32946350
1077179, 7, 32797450
1133659, 7, 34305320
1236307, 7, 34344180
1644493, 7, 37923520
1821779, 7, 34264920
1830571, 7, 37573340
1887797, 7, 39448870
1892249, 7, 30050440
2053943, 7, 37547370
2162803, 7, 40217270
2166529, 7, 33488650
2438911, 7, 37037680
2444401, 7, 36256960
2466803, 7, 40212490
2566063, 7, 41398910
2599013, 7, 45383940
2867807, 7, 41541180
2889499, 7, 46169840
2966519, 7, 36862440
3031867, 7, 41892910
3052253, 7, 42088840
3183091, 7, 43287710
3304297, 7, 44704640
3307379, 7, 45858140
3355487, 7, 44031300
3408641, 7, 45152000
3425441, 7, 50589480
3472933, 7, 45628260
3571651, 7, 39335380
3575071, 7, 46409330
3602897, 7, 40865470
3611401, 7, 47041170
3653081, 7, 46355710
3702593, 7, 47682440
3766891, 7, 44161030
3786829, 7, 46521170
3890633, 7, 46368410
4086559, 7, 45903080
4093237, 7, 44725630
4260317, 7, 55614270
4345097, 7, 43710960
4407523, 7, 45163580
4567151, 7, 37923100
4652189, 7, 53051130
4721569, 7, 40579690
4770737, 7, 49196630
4842067, 7, 45684480
4849349, 7, 50201410
5194457, 7, 41109430
5304001, 7, 38681620
5529739, 7, 50945840
5574841, 7, 46823450
5593649, 7, 51564620
5724007, 7, 54781750
5803543, 7, 43581290
5904161, 7, 47212110
6032833, 7, 48826800
6076607, 7, 47526000
6292813, 7, 51791200
6324401, 7, 49888520
6431323, 7, 81104200
6538151, 7, 49299170
6777103, 7, 51071080
6792631, 7, 45873630
6901429, 7, 64453200
7096211, 7, 48585090
7124993, 7, 45489820
7278407, 7, 58728890
7339847, 7, 63242460
7389871, 7, 52321470
7439231, 7, 61109810
7515163, 7, 59886920
7641437, 7, 68452500
7691027, 7, 56276690
7883587, 7, 56203830
7909943, 7, 53350420
8014001, 7, 52489460
8030741, 7, 63454590
8238563, 7, 57091880
8263531, 7, 46310800
8420483, 7, 59229050
8594713, 7, 67333220
8620631, 7, 54698240
8787799, 7, 58618270
8837737, 7, 46283900
8851877, 7, 59767470
8985787, 7, 62401940
9012187, 7, 64224060
9120739, 7, 52896480
9352393, 7, 54530920
9354781, 7, 49218560
9403259, 7, 55769140
9635881, 7, 49167400
9713149, 7, 58742150
9847213, 7, 55729720
9849683, 7, 62026900
9853313, 7, 58134730
9962363, 7, 64219910
10311527, 8, 60901510
10435661, 8, 62597590
10904851, 8, 51168220
13036663, 8, 66004320
14773921, 8, 59852360
15148297, 8, 56227510
15354971, 8, 57008120
15499621, 8, 60717210
16717037, 8, 62739640
21006593, 8, 58931790
23024191, 8, 60555270
24763799, 8, 68080480
24978139, 8, 66978380
25255469, 8, 69542210
25712783, 8, 72409030
25722269, 8, 68583740
26051257, 8, 67288590
27132461, 8, 70907650
27408523, 8, 67183600
27757897, 8, 71954140
28330979, 8, 80504250
29879887, 8, 79366320
29960633, 8, 73373860
30009373, 8, 72708570
31144759, 8, 76156640
31344151, 8, 72794990
32076767, 8, 76859280
33362837, 8, 79167890
34461463, 8, 70203770
34781333, 8, 83651880
36929677, 8, 76906770
37997957, 8, 93817060
38266519, 8, 64845920
39812987, 8, 94072290
39943793, 8, 74259000
40665869, 8, 68174870
40834267, 8, 82060400
43104797, 8, 72014870
43183099, 8, 79169600
43307359, 8, 79420260
43624759, 8, 81298800
43857887, 8, 82817060
44262047, 8, 81725720
45391013, 8, 84219640
45754019, 8, 76042860
47156881, 8, 72409920
50334001, 8, 78339440
50742437, 8, 87538490
51018491, 8, 92923860
51084343, 8, 79629700
52811513, 8, 81771200
52964627, 8, 89665010
55122181, 8, 86781520
56039587, 8, 100467840
57620053, 8, 78143420
58129403, 8, 96300080
58168427, 8, 100338000
58625257, 8, 90420340
59992547, 8, 83231510
60242227, 8, 99564140
60910123, 8, 78052800
60998429, 8, 91122830
61256963, 8, 97116170
64251527, 8, 94063060
64786987, 8, 75165270
65016799, 8, 73434670
65611153, 8, 78197510
65617567, 8, 85045380
66490657, 8, 81014190
66769487, 8, 88942810
69029833, 8, 112251780
70241779, 8, 90155040
70524043, 8, 90834120
72443291, 8, 92844500
72687319, 8, 98619650
73275221, 8, 85179010
74420623, 8, 88575220
76743397, 8, 98448290
77133911, 8, 92996560
77139113, 8, 91779000
77171821, 8, 90349630
77339303, 8, 90024650
77954087, 8, 103256270
78552059, 8, 101536350
79502531, 8, 90749510
79852579, 8, 83381700
80301293, 8, 90494220
80975053, 8, 99417040
84760849, 8, 90788000
86036287, 8, 118198800
89945953, 8, 102519850
90209927, 8, 139193480
90939941, 8, 95811440
92840323, 8, 119660710
96195599, 8, 115328790
97890719, 8, 102576950
98674063, 8, 120500680
98809069, 8, 105120210
99283271, 8, 93091480
99401311, 8, 93468690
102139837, 9, 118595560
107663587, 9, 105644840
118344613, 9, 106783840
134467691, 9, 121764000
135277801, 9, 92399250
136353179, 9, 133241200
145318471, 9, 88250220
150561053, 9, 98363110
157114339, 9, 111654620
168473419, 9, 99544670
182407583, 9, 116862730
188764117, 9, 113304370
196472993, 9, 109611410
198187901, 9, 105194900
199760783, 9, 128189270
200104549, 9, 105928320
219094123, 9, 117954090
225465703, 9, 103304750
227966153, 9, 113506190
237230723, 9, 132045770
240312929, 9, 109740980
244485727, 9, 124712490
263236781, 9, 117551680
264827839, 9, 113846010
275652529, 9, 112426300
277213793, 9, 120369310
314814671, 9, 125366250
325345561, 9, 108515180
341948119, 9, 121576210
348119249, 9, 104161630
382535521, 9, 108554010
386954987, 9, 120667220
400505267, 9, 122241800
406771663, 9, 118014340
410940199, 9, 130127530
422065513, 9, 115556020
424273711, 9, 112660160
436804619, 9, 131163920
438211859, 9, 116072790
448270309, 9, 124183820
453175351, 9, 119856700
453815581, 9, 126727050
463764451, 9, 129501230
477870929, 9, 144728300
493964143, 9, 131720040
495976633, 9, 135917190
500035729, 9, 118288390
500117927, 9, 133010570
522498173, 9, 127491730
528306083, 9, 133043460
532721731, 9, 137652860
533560829, 9, 126488430
538790489, 9, 124764630
539168233, 9, 134640790
546792091, 9, 135020440
552308723, 9, 132166420
557463493, 9, 125712910
557717627, 9, 136335030
566149547, 9, 160129830
592507757, 9, 138358090
603181883, 9, 133032550
616765811, 9, 135799000
619483607, 9, 139428410
620385431, 9, 138423930
620512033, 9, 131851920
624914681, 9, 124033130
636409217, 9, 134192800
645934969, 9, 116644120
674784113, 9, 142407750
675070037, 9, 141676090
679570709, 9, 133045630
683253941, 9, 145284460
685911493, 9, 140054520
686911543, 9, 142941950
690061717, 9, 148999730
729467159, 9, 138804060
735392773, 9, 154068510
737408851, 9, 129906850
739719163, 9, 134615950
749172517, 9, 162789330
750613463, 9, 144030550
751089061, 9, 138607970
783288619, 9, 133269210
796981841, 9, 132401750
814440667, 9, 155743440
820592677, 9, 157513590
833503807, 9, 133625470
838288361, 9, 132353120
840639229, 9, 129870430
841507913, 9, 136672230
847920767, 9, 158147210
849050959, 9, 118003330
863237699, 9, 151393450
869044831, 9, 139083860
871328567, 9, 156979760
872454613, 9, 148133330
876824639, 9, 161654470
883780283, 9, 132233190
897527327, 9, 176705360
910106741, 9, 155635090
